PWM1,PWM2,PWM3,PWM4,Airspeed,Throttle,ClimbRate,Current,Voltage,Power,Roll,Pitch,Yaw
1687,1687,1687,1687,4.78324604034424,49,4.78323078155518,36.89,12.6,464.814,0.00283608818426728,0.00258848257362843,-0.129008129239082
1692,1692,1692,1692,5.02969264984131,50,5.02967548370361,37.24,12.6,469.224,0.00298497313633561,0.00290786218829453,-0.128976047039032
1692,1692,1692,1692,5.02969264984131,50,5.02967548370361,37.24,12.6,469.224,0.00298497313633561,0.00290786218829453,-0.128976047039032
1697,1698,1698,1697,5.27722930908203,51,5.27720880508423,37.83,12.6,476.658,0.00319954170845449,0.00312616140581667,-0.128950178623199
1697,1698,1698,1697,5.27722930908203,51,5.27720880508423,37.83,12.6,476.658,0.00319954170845449,0.00312616140581667,-0.128950178623199
1704,1703,1703,1703,5.52537965774536,51,5.52535438537598,38.23,12.6,481.698,0.0033631594851613,0.00313234911300242,-0.128950655460358
1704,1703,1703,1703,5.52537965774536,51,5.52535438537598,38.23,12.6,481.698,0.0033631594851613,0.00313234911300242,-0.128950655460358
1709,1709,1709,1709,5.77565383911133,52,5.77562236785889,38.85,12.6,489.51,0.00351790152490139,0.003263522638008,-0.128915965557098
1709,1709,1709,1709,5.77565383911133,52,5.77562236785889,38.85,12.6,489.51,0.00351790152490139,0.003263522638008,-0.128915965557098
1705,1705,1705,1705,6.00702381134033,52,6.00698518753052,38.85,12.6,489.51,0.00352566200308502,0.00327898887917399,-0.128900304436684
1705,1705,1705,1705,6.00702381134033,52,6.00698518753052,38.85,12.6,489.51,0.00352566200308502,0.00327898887917399,-0.128900304436684
1685,1686,1686,1685,6.06219387054443,49,6.06214904785156,36.21,12.6,456.246,0.00347904651425779,0.00329548097215593,-0.128918766975403
1685,1686,1686,1685,6.06219387054443,49,6.06214904785156,36.21,12.6,456.246,0.00347904651425779,0.00329548097215593,-0.128918766975403
1673,1674,1673,1674,5.98390531539917,47,5.98385524749756,35.03,12.6,441.378,0.003462596796453,0.00344047858379781,-0.128925025463104
1673,1674,1673,1674,5.98390531539917,47,5.98385524749756,35.03,12.6,441.378,0.003462596796453,0.00344047858379781,-0.128925025463104
1666,1665,1666,1666,5.84336853027344,46,5.84331464767456,34.04,12.6,428.904,0.00335495336912572,0.00348492828197777,-0.128895714879036
1666,1665,1666,1666,5.84336853027344,46,5.84331464767456,34.04,12.6,428.904,0.00335495336912572,0.00348492828197777,-0.128895714879036
1661,1661,1661,1661,5.68023586273193,45,5.68017816543579,33.69,12.6,424.494,0.00342970853671432,0.00387947214767337,-0.128899931907654
1661,1661,1661,1661,5.68023586273193,45,5.68017816543579,33.69,12.6,424.494,0.00342970853671432,0.00387947214767337,-0.128899931907654
1658,1658,1658,1658,5.51811933517456,45,5.51805400848389,33.36,12.6,420.336,0.00334812910296023,0.00386211462318897,-0.128897160291672
1658,1658,1658,1658,5.51811933517456,45,5.51805400848389,33.36,12.6,420.336,0.00334812910296023,0.00386211462318897,-0.128897160291672
1656,1655,1656,1656,5.36637210845947,44,5.36629772186279,33.21,12.6,418.446,0.00358384707942605,0.00386791815981269,-0.128879472613335
1656,1655,1656,1656,5.36637210845947,44,5.36629772186279,33.21,12.6,418.446,0.00358384707942605,0.00386791815981269,-0.128879472613335
1654,1654,1654,1654,5.226637840271,44,5.22655391693115,33.09,12.6,416.934,0.00318178464658558,0.00395666575059295,-0.128901854157448
1654,1654,1654,1654,5.226637840271,44,5.22655391693115,33.09,12.6,416.934,0.00318178464658558,0.00395666575059295,-0.128901854157448
1652,1652,1652,1652,5.09605264663696,44,5.09596014022827,32.95,12.6,415.17,0.00335707957856357,0.00390794314444065,-0.128866747021675
1652,1652,1652,1652,5.09605264663696,44,5.09596014022827,32.95,12.6,415.17,0.00335707957856357,0.00390794314444065,-0.128866747021675
